S.no,Name,Type,Weaknesses,Height,Weight,Gender,Category
#0282,Gardevoir,Psychic/Fairy,Poison/Ghost/Steel,1.6 m,48.4 kg,male/female,Embrace
#0283,Surskit,Bug/Water,Electric/Flying/Rock,0.5 m,1.7 kg,male/female,Pond Skater
#0284,Masquerain,Bug/Flying,Fire/Electric/Ice/Flying/Rock,0.8 m,3.6 kg,male/female,Eyeball
#0285,Shroomish,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,4.5 kg,male/female,Mushroom
#0286,Breloom,Grass/Fighting,Fire/Ice/Poison/Flying/Psychic/Fairy,1.2 m,39.2 kg,male/female,Mushroom
#0287,Slakoth,Normal,Fighting,0.8 m,24 kg,male/female,Slacker
#0288,Vigoroth,Normal,Fighting,1.4 m,46.5 kg,male/female,Wild Monkey
#0289,Slaking,Normal,Fighting,2 m,130.5 kg,male/female,Lazy
#0290,Nincada,Bug/Ground,Fire/Water/Ice/Flying,0.5 m,5.5 kg,male/female,Trainee
#0291,Ninjask,Bug/Flying,Fire/Electric/Ice/Flying/Rock,0.8 m,12 kg,male/female,Ninja
#0292,Shedinja,Bug/Ghost,Fire/Flying/Rock/Ghost/Dark,0.8 m,1.2 kg,genderless,Shed
#0293,Whismur,Normal,Fighting,0.6 m,16.3 kg,male/female,Whisper
#0294,Loudred,Normal,Fighting,1 m,40.5 kg,male/female,Big Voice
#0295,Exploud,Normal,Fighting,1.5 m,84 kg,male/female,Loud Noise
#0296,Makuhita,Fighting,Flying/Psychic/Fairy,1 m,86.4 kg,male/female,Guts
#0297,Hariyama,Fighting,Flying/Psychic/Fairy,2.3 m,253.8 kg,male/female,Arm Thrust
#0298,Azurill,Normal/Fairy,Poison/Steel,0.2 m,2 kg,male/female,Polka Dot
#0299,Nosepass,Rock,Water/Grass/Fighting/Ground/Steel,1 m,97 kg,male/female,Compass
#0300,Skitty,Normal,Fighting,0.6 m,11 kg,male/female,Kitten
#0301,Delcatty,Normal,Fighting,1.1 m,32.6 kg,male/female,Prim
#0302,Sableye,Dark/Ghost,Fairy,0.5 m,11 kg,male/female,Darkness
#0303,Mawile,Steel/Fairy,Fire/Ground/Steel,0.6 m,11.5 kg,male/female,Deceiver
#0304,Aron,Steel/Rock,Water/Fighting/Ground/Steel,0.4 m,60 kg,male/female,Iron Armor
#0305,Lairon,Steel/Rock,Water/Fighting/Ground/Steel,0.9 m,120 kg,male/female,Iron Armor
#0306,Aggron,Steel/Rock,Water/Fighting/Ground/Steel,2.1 m,360 kg,male/female,Iron Armor
#0307,Meditite,Fighting/Psychic,Flying/Ghost/Fairy,0.6 m,11.2 kg,male/female,Meditate
#0308,Medicham,Fighting/Psychic,Flying/Ghost/Fairy,1.3 m,31.5 kg,male/female,Meditate
#0309,Electrike,Electric,Ground,0.6 m,15.2 kg,male/female,Lightning
#0310,Manectric,Electric,Ground,1.5 m,40.2 kg,male/female,Discharge
#0311,Plusle,Electric,Ground,0.4 m,4.2 kg,male/female,Cheering
#0312,Minun,Electric,Ground,0.4 m,4.2 kg,male/female,Cheering
#0313,Volbeat,Bug,Fire/Flying/Rock,0.7 m,17.7 kg,male,Firefly
#0314,Illumise,Bug,Fire/Flying/Rock,0.6 m,17.7 kg,female,Firefly
#0315,Roselia,Grass/Poison,Fire/Ice/Flying/Psychic,0.3 m,2 kg,male/female,Thorn
#0316,Gulpin,Poison,Ground/Psychic,0.4 m,10.3 kg,male/female,Stomach
#0317,Swalot,Poison,Ground/Psychic,1.7 m,80 kg,male/female,Poison Bag
#0318,Carvanha,Water/Dark,Electric/Grass/Fighting/Bug/Fairy,0.8 m,20.8 kg,male/female,Savage
#0319,Sharpedo,Water/Dark,Electric/Grass/Fighting/Bug/Fairy,1.8 m,88.8 kg,male/female,Brutal
#0320,Wailmer,Water,Electric/Grass,2 m,130 kg,male/female,Ball Whale
#0321,Wailord,Water,Electric/Grass,14.5 m,398 kg,male/female,Float Whale
#0322,Numel,Fire/Ground,Water/Ground,0.7 m,24 kg,male/female,Numb
#0323,Camerupt,Fire/Ground,Water/Ground,1.9 m,220 kg,male/female,Eruption
#0324,Torkoal,Fire,Water/Ground/Rock,0.5 m,80.4 kg,male/female,Coal
#0325,Spoink,Psychic,Bug/Ghost/Dark,0.7 m,30.6 kg,male/female,Bounce
#0326,Grumpig,Psychic,Bug/Ghost/Dark,0.9 m,71.5 kg,male/female,Manipulate
#0327,Spinda,Normal,Fighting,1.1 m,5 kg,male/female,Spot Panda
#0328,Trapinch,Ground,Water/Grass/Ice,0.7 m,15 kg,male/female,Ant Pit
#0329,Vibrava,Ground/Dragon,Ice/Dragon/Fairy,1.1 m,15.3 kg,male/female,Vibration
#0330,Flygon,Ground/Dragon,Ice/Dragon/Fairy,2 m,82 kg,male/female,Mystic
#0331,Cacnea,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,51.3 kg,male/female,Cactus
#0332,Cacturne,Grass/Dark,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1.3 m,77.4 kg,male/female,Scarecrow
#0333,Swablu,Normal/Flying,Electric/Ice/Rock,0.4 m,1.2 kg,male/female,Cotton Bird
#0334,Altaria,Dragon/Flying,Ice/Rock/Dragon/Fairy,1.1 m,20.6 kg,male/female,Humming
#0335,Zangoose,Normal,Fighting,1.3 m,40.3 kg,male/female,Cat Ferret
#0336,Seviper,Poison,Ground/Psychic,2.7 m,52.5 kg,male/female,Fang Snake
#0337,Lunatone,Rock/Psychic,Water/Grass/Ground/Bug/Ghost/Dark/Steel,1 m,168 kg,genderless,Meteorite
#0338,Solrock,Rock/Psychic,Water/Grass/Ground/Bug/Ghost/Dark/Steel,1.2 m,154 kg,genderless,Meteorite
#0339,Barboach,Water/Ground,Grass,0.4 m,1.9 kg,male/female,Whiskers
#0340,Whiscash,Water/Ground,Grass,0.9 m,23.6 kg,male/female,Whiskers
#0341,Corphish,Water,Electric/Grass,0.6 m,11.5 kg,male/female,Ruffian
#0342,Crawdaunt,Water/Dark,Electric/Grass/Fighting/Bug/Fairy,1.1 m,32.8 kg,male/female,Rogue
#0343,Baltoy,Ground/Psychic,Water/Grass/Ice/Bug/Ghost/Dark,0.5 m,21.5 kg,genderless,Clay Doll
#0344,Claydol,Ground/Psychic,Water/Grass/Ice/Bug/Ghost/Dark,1.5 m,108 kg,genderless,Clay Doll
#0345,Lileep,Rock/Grass,Ice/Fighting/Bug/Steel,1 m,23.8 kg,male/female,Sea Lily
#0346,Cradily,Rock/Grass,Ice/Fighting/Bug/Steel,1.5 m,60.4 kg,male/female,Barnacle
#0347,Anorith,Rock/Bug,Water/Rock/Steel,0.7 m,12.5 kg,male/female,Old Shrimp
#0348,Armaldo,Rock/Bug,Water/Rock/Steel,1.5 m,68.2 kg,male/female,Plate
#0349,Feebas,Water,Electric/Grass,0.6 m,7.4 kg,male/female,Fish
#0350,Milotic,Water,Electric/Grass,6.2 m,162 kg,male/female,Tender
#0351,Castform,Normal,Fighting,0.3 m,0.8 kg,male/female,Weather
#0352,Kecleon,Normal,Fighting,1 m,22 kg,male/female,Color Swap
#0353,Shuppet,Ghost,Ghost/Dark,0.6 m,2.3 kg,male/female,Puppet
#0354,Banette,Ghost,Ghost/Dark,1.1 m,12.5 kg,male/female,Marionette
#0355,Duskull,Ghost,Ghost/Dark,0.8 m,15 kg,male/female,Requiem
#0356,Dusclops,Ghost,Ghost/Dark,1.6 m,30.6 kg,male/female,Beckon
#0357,Tropius,Grass/Flying,Fire/Ice/Poison/Flying/Rock,2 m,100 kg,male/female,Fruit
#0358,Chimecho,Psychic,Bug/Ghost/Dark,0.6 m,1 kg,male/female,Wind Chime
#0359,Absol,Dark,Fighting/Bug/Fairy,1.2 m,47 kg,male/female,Disaster
#0360,Wynaut,Psychic,Bug/Ghost/Dark,0.6 m,14 kg,male/female,Bright
#0361,Snorunt,Ice,Fire/Fighting/Rock/Steel,0.7 m,16.8 kg,male/female,Snow Hat
#0362,Glalie,Ice,Fire/Fighting/Rock/Steel,1.5 m,256.5 kg,male/female,Face
#0363,Spheal,Ice/Water,Electric/Grass/Fighting/Rock,0.8 m,39.5 kg,male/female,Clap
#0364,Sealeo,Ice/Water,Electric/Grass/Fighting/Rock,1.1 m,87.6 kg,male/female,Ball Roll
#0365,Walrein,Ice/Water,Electric/Grass/Fighting/Rock,1.4 m,150.6 kg,male/female,Ice Break
#0366,Clamperl,Water,Electric/Grass,0.4 m,52.5 kg,male/female,Bivalve
#0367,Huntail,Water,Electric/Grass,1.7 m,27 kg,male/female,Deep Sea
#0368,Gorebyss,Water,Electric/Grass,1.8 m,22.6 kg,male/female,South Sea
#0369,Relicanth,Water/Rock,Electric/Grass/Fighting/Ground,1 m,23.4 kg,male/female,Longevity
#0370,Luvdisc,Water,Electric/Grass,0.6 m,8.7 kg,male/female,Rendezvous
#0371,Bagon,Dragon,Ice/Dragon/Fairy,0.6 m,42.1 kg,male/female,Rock Head
#0372,Shelgon,Dragon,Ice/Dragon/Fairy,1.1 m,110.5 kg,male/female,Endurance
#0373,Salamence,Dragon/Flying,Ice/Rock/Dragon/Fairy,1.5 m,102.6 kg,male/female,Dragon
#0374,Beldum,Steel/Psychic,Fire/Ground/Ghost/Dark,0.6 m,95.2 kg,genderless,Iron Ball
#0375,Metang,Steel/Psychic,Fire/Ground/Ghost/Dark,1.2 m,202.5 kg,genderless,Iron Claw
#0376,Metagross,Steel/Psychic,Fire/Ground/Ghost/Dark,1.6 m,550 kg,genderless,Iron Leg
#0377,Regirock,Rock,Water/Grass/Fighting/Ground/Steel,1.7 m,230 kg,genderless,Rock Peak
#0378,Regice,Ice,Fire/Fighting/Rock/Steel,1.8 m,175 kg,genderless,Iceberg
#0379,Registeel,Steel,Fire/Ground,1.9 m,205 kg,genderless,Iron
#0380,Latias,Dragon/Psychic,Ice/Bug/Ghost/Dragon/Dark/Fairy,1.4 m,40 kg,female,Eon
#0381,Latios,Dragon/Psychic,Ice/Bug/Ghost/Dragon/Dark/Fairy,2 m,60 kg,male,Eon
#0382,Kyogre,Water,Electric/Grass,4.5 m,352 kg,genderless,Sea Basin
#0383,Groudon,Ground,Water/Grass/Ice,3.5 m,950 kg,genderless,Continent
#0384,Rayquaza,Dragon/Flying,Ice/Rock/Dragon/Fairy,7 m,206.5 kg,genderless,Sky High
#0385,Jirachi,Steel/Psychic,Fire/Ground/Ghost/Dark,0.3 m,1.1 kg,genderless,Wish
#0386,Deoxys-Normal,Psychic,Bug/Ghost/Dark,1.7 m,60.8 kg,genderless,DNA
#0387,Turtwig,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,10.2 kg,male/female,Tiny Leaf
#0388,Grotle,Grass,Fire/Ice/Poison/Flying/Bug,1.1 m,97 kg,male/female,Grove
#0389,Torterra,Grass/Ground,Fire/Ice/Flying/Bug,2.2 m,310 kg,male/female,Continent
#0390,Chimchar,Fire,Water/Ground/Rock,0.5 m,6.2 kg,male/female,Chimp
#0391,Monferno,Fire/Fighting,Water/Ground/Flying/Psychic,0.9 m,22 kg,male/female,Playful
#0392,Infernape,Fire/Fighting,Water/Ground/Flying/Psychic,1.2 m,55 kg,male/female,Flame
#0393,Piplup,Water,Electric/Grass,0.4 m,5.2 kg,male/female,Penguin
#0394,Prinplup,Water,Electric/Grass,0.8 m,23 kg,male/female,Penguin
#0395,Empoleon,Water/Steel,Electric/Ground,1.7 m,84.5 kg,male/female,Emperor
#0396,Starly,Normal/Flying,Electric/Ice/Rock,0.3 m,2 kg,male/female,Starling
#0397,Staravia,Normal/Flying,Electric/Ice/Rock,0.6 m,15.5 kg,male/female,Starling
#0398,Staraptor,Normal/Flying,Electric/Ice/Rock,1.2 m,24.9 kg,male/female,Predator
#0399,Bidoof,Normal,Fighting,0.5 m,20 kg,male/female,Plump Mouse
#0400,Bibarel,Normal/Water,Electric/Grass/Fighting,1 m,31.5 kg,male/female,Beaver
#0401,Kricketot,Bug,Fire/Flying/Rock,0.3 m,2.2 kg,male/female,Cricket
#0402,Kricketune,Bug,Fire/Flying/Rock,1 m,25.5 kg,male/female,Cricket
#0403,Shinx,Electric,Ground,0.5 m,9.5 kg,male/female,Flash
#0404,Luxio,Electric,Ground,0.9 m,30.5 kg,male/female,Spark
#0405,Luxray,Electric,Ground,1.4 m,42 kg,male/female,Gleam Eyes
#0406,Budew,Grass/Poison,Fire/Ice/Flying/Psychic,0.2 m,1.2 kg,male/female,Bud
#0407,Roserade,Grass/Poison,Fire/Ice/Flying/Psychic,0.9 m,14.5 kg,male/female,Bouquet
#0408,Cranidos,Rock,Water/Grass/Fighting/Ground/Steel,0.9 m,31.5 kg,male/female,Head Butt
#0409,Rampardos,Rock,Water/Grass/Fighting/Ground/Steel,1.6 m,102.5 kg,male/female,Head Butt
#0410,Shieldon,Rock/Steel,Water/Fighting/Ground/Steel,0.5 m,57 kg,male/female,Shield
#0411,Bastiodon,Rock/Steel,Water/Fighting/Ground/Steel,1.3 m,149.5 kg,male/female,Shield
#0412,Burmy,Bug,Fire/Flying/Rock,0.2 m,3.4 kg,male/female,Bagworm
#0413,Wormadam-Plant,Bug/Grass,Fire/Ice/Poison/Flying/Bug/Rock,0.5 m,6.5 kg,female,Bagworm
#0414,Mothim,Bug/Flying,Fire/Electric/Ice/Flying/Rock,0.9 m,23.3 kg,male,Moth
#0415,Combee,Bug/Flying,Fire/Electric/Ice/Flying/Rock,0.3 m,5.5 kg,male/female,Tiny Bee
#0416,Vespiquen,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.2 m,38.5 kg,female,Beehive
#0417,Pachirisu,Electric,Ground,0.4 m,3.9 kg,male/female,EleSquirrel
#0418,Buizel,Water,Electric/Grass,0.7 m,29.5 kg,male/female,Sea Weasel
#0419,Floatzel,Water,Electric/Grass,1.1 m,33.5 kg,male/female,Sea Weasel
#0420,Cherubi,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,3.3 kg,male/female,Cherry
#0421,Cherrim,Grass,Fire/Ice/Poison/Flying/Bug,0.5 m,9.3 kg,male/female,Blossom
#0422,Shellos,Water,Electric/Grass,0.3 m,6.3 kg,male/female,Sea Slug
#0423,Gastrodon,Water/Ground,Grass,0.9 m,29.9 kg,male/female,Sea Slug
#0424,Ambipom,Normal,Fighting,1.2 m,20.3 kg,male/female,Long Tail
#0425,Drifloon,Ghost/Flying,Electric/Ice/Rock/Ghost/Dark,0.4 m,1.2 kg,male/female,Balloon
#0426,Drifblim,Ghost/Flying,Electric/Ice/Rock/Ghost/Dark,1.2 m,15 kg,male/female,Blimp
#0427,Buneary,Normal,Fighting,0.4 m,5.5 kg,male/female,Rabbit
#0428,Lopunny,Normal,Fighting,1.2 m,33.3 kg,male/female,Rabbit
#0429,Mismagius,Ghost,Ghost/Dark,0.9 m,4.4 kg,male/female,Magical
#0430,Honchkrow,Dark/Flying,Electric/Ice/Rock/Fairy,0.9 m,27.3 kg,male/female,Big Boss
#0431,Glameow,Normal,Fighting,0.5 m,3.9 kg,male/female,Catty
#0432,Purugly,Normal,Fighting,1 m,43.8 kg,male/female,Tiger Cat
#0433,Chingling,Psychic,Bug/Ghost/Dark,0.2 m,0.6 kg,male/female,Bell
#0434,Stunky,Poison/Dark,Ground,0.4 m,19.2 kg,male/female,Skunk
#0435,Skuntank,Poison/Dark,Ground,1 m,38 kg,male/female,Skunk
#0436,Bronzor,Steel/Psychic,Fire/Ground/Ghost/Dark,0.5 m,60.5 kg,genderless,Bronze
#0437,Bronzong,Steel/Psychic,Fire/Ground/Ghost/Dark,1.3 m,187 kg,genderless,Bronze Bell
#0438,Bonsly,Rock,Water/Grass/Fighting/Ground/Steel,0.5 m,15 kg,male/female,Bonsai
#0439,Mime-Jr,Psychic/Fairy,Poison/Ghost/Steel,0.6 m,13 kg,male/female,Mime
#0440,Happiny,Normal,Fighting,0.6 m,24.4 kg,female,Playhouse
#0441,Chatot,Normal/Flying,Electric/Ice/Rock,0.5 m,1.9 kg,male/female,Music Note
#0442,Spiritomb,Ghost/Dark,Fairy,1 m,108 kg,male/female,Forbidden
#0443,Gible,Dragon/Ground,Ice/Dragon/Fairy,0.7 m,20.5 kg,male/female,Land Shark
#0444,Gabite,Dragon/Ground,Ice/Dragon/Fairy,1.4 m,56 kg,male/female,Cave
#0445,Garchomp,Dragon/Ground,Ice/Dragon/Fairy,1.9 m,95 kg,male/female,Mach
#0446,Munchlax,Normal,Fighting,0.6 m,105 kg,male/female,Big Eater
#0447,Riolu,Fighting,Flying/Psychic/Fairy,0.7 m,20.2 kg,male/female,Emanation
#0448,Lucario,Fighting/Steel,Fire/Ground,1.2 m,54 kg,male/female,Aura
#0449,Hippopotas,Ground,Water/Grass/Ice,0.8 m,49.5 kg,male/female,Hippo
#0450,Hippowdon,Ground,Water/Grass/Ice,2 m,300 kg,male/female,Heavyweight
#0451,Skorupi,Poison/Bug,Fire/Flying/Psychic/Rock,0.8 m,12 kg,male/female,Scorpion
#0452,Drapion,Poison/Dark,Ground,1.3 m,61.5 kg,male/female,Ogre Scorpion
#0453,Croagunk,Poison/Fighting,Ground/Flying/Psychic,0.7 m,23 kg,male/female,Toxic Mouth
#0454,Toxicroak,Poison/Fighting,Ground/Flying/Psychic,1.3 m,44.4 kg,male/female,Toxic Mouth
#0455,Carnivine,Grass,Fire/Ice/Poison/Flying/Bug,1.4 m,27 kg,male/female,Bug Catcher
#0456,Finneon,Water,Electric/Grass,0.4 m,7 kg,male/female,Wing Fish
#0457,Lumineon,Water,Electric/Grass,1.2 m,24 kg,male/female,Neon
#0458,Mantyke,Water/Flying,Electric/Rock,1 m,65 kg,male/female,Kite
#0459,Snover,Grass/Ice,Fire/Fighting/Poison/Flying/Bug/Rock/Steel,1 m,50.5 kg,male/female,Frost Tree
#0460,Abomasnow,Grass/Ice,Fire/Fighting/Poison/Flying/Bug/Rock/Steel,2.2 m,135.5 kg,male/female,Frost Tree
#0461,Weavile,Dark/Ice,Fire/Fighting/Bug/Rock/Steel/Fairy,1.1 m,34 kg,male/female,Sharp Claw
#0462,Magnezone,Electric/Steel,Fire/Ground,1.2 m,180 kg,genderless,Magnet Area
#0463,Lickilicky,Normal,Fighting,1.7 m,140 kg,male/female,Licking
#0464,Rhyperior,Ground/Rock,Water/Grass/Ice/Fighting/Ground/Steel,2.4 m,282.8 kg,male/female,Drill
#0465,Tangrowth,Grass,Fire/Ice/Poison/Flying/Bug,2 m,128.6 kg,male/female,Vine
#0466,Electivire,Electric,Ground,1.8 m,138.6 kg,male/female,Thunderbolt
#0467,Magmortar,Fire,Water/Ground/Rock,1.6 m,68 kg,male/female,Blast
#0468,Togekiss,Fairy/Flying,Electric/Ice/Poison/Rock/Steel,1.5 m,38 kg,male/female,Jubilee
#0469,Yanmega,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.9 m,51.5 kg,male/female,Ogre Darner
#0470,Leafeon,Grass,Fire/Ice/Poison/Flying/Bug,1 m,25.5 kg,male/female,Verdant
#0471,Glaceon,Ice,Fire/Fighting/Rock/Steel,0.8 m,25.9 kg,male/female,Fresh Snow
#0472,Gliscor,Ground/Flying,Water/Ice,2 m,42.5 kg,male/female,Fang Scorpion
#0473,Mamoswine,Ice/Ground,Fire/Water/Grass/Fighting/Steel,2.5 m,291 kg,male/female,Twin Tusk
#0474,Porygon-Z,Normal,Fighting,0.9 m,34 kg,genderless,Virtual
#0475,Gallade,Psychic/Fighting,Flying/Ghost/Fairy,1.6 m,52 kg,male,Blade
#0476,Probopass,Rock/Steel,Water/Fighting/Ground/Steel,1.4 m,340 kg,male/female,Compass
#0477,Dusknoir,Ghost,Ghost/Dark,2.2 m,106.6 kg,male/female,Gripper
#0478,Froslass,Ice/Ghost,Fire/Rock/Ghost/Dark/Steel,1.3 m,26.6 kg,female,Snow Land
#0479,Rotom,Electric/Ghost,Ground/Ghost/Dark,0.3 m,0.3 kg,genderless,Plasma
#0480,Uxie,Psychic,Bug/Ghost/Dark,0.3 m,0.3 kg,genderless,Knowledge
#0481,Mesprit,Psychic,Bug/Ghost/Dark,0.3 m,0.3 kg,genderless,Emotion
#0482,Azelf,Psychic,Bug/Ghost/Dark,0.3 m,0.3 kg,genderless,Willpower
#0483,Dialga,Steel/Dragon,Ground,5.4 m,683 kg,genderless,Temporal
#0484,Palkia,Water/Dragon,Dragon/Fairy,4.2 m,336 kg,genderless,Spatial
#0485,Heatran,Fire/Steel,Water/Ground,1.7 m,430 kg,male/female,Lava Dome
#0486,Regigigas,Normal,Fighting,3.7 m,420 kg,genderless,Colossal
#0487,Giratina-Altered,Ghost/Dragon,Ice/Ghost/Dragon/Dark/Fairy,4.5 m,750 kg,genderless,Renegade
#0488,Cresselia,Psychic,Bug/Ghost/Dark,1.5 m,85.6 kg,female,Lunar
#0489,Phione,Water,Electric/Grass,0.4 m,3.1 kg,genderless,Sea Drifter
#0490,Manaphy,Water,Electric/Grass,0.3 m,1.4 kg,genderless,Seafaring
#0491,Darkrai,Dark,Fighting/Bug/Fairy,1.5 m,50.5 kg,genderless,Pitch-Black
#0492,Shaymin-Land,Grass,Fire/Ice/Poison/Flying/Bug,0.2 m,2.1 kg,genderless,Gratitude
#0493,Arceus,Normal,Fighting,3.2 m,320 kg,genderless,Alpha
#0494,Victini,Psychic/Fire,Water/Ground/Rock/Ghost/Dark,0.4 m,4 kg,genderless,Victory
#0495,Snivy,Grass,Fire/Ice/Poison/Flying/Bug,0.6 m,8.1 kg,male/female,Grass Snake
#0496,Servine,Grass,Fire/Ice/Poison/Flying/Bug,0.8 m,16 kg,male/female,Grass Snake
#0497,Serperior,Grass,Fire/Ice/Poison/Flying/Bug,3.3 m,63 kg,male/female,Regal
#0498,Tepig,Fire,Water/Ground/Rock,0.5 m,9.9 kg,male/female,Fire Pig
#0499,Pignite,Fire/Fighting,Water/Ground/Flying/Psychic,1 m,55.5 kg,male/female,Fire Pig
#0500,Emboar,Fire/Fighting,Water/Ground/Flying/Psychic,1.6 m,150 kg,male/female,Mega Fire Pig
#0501,Oshawott,Water,Electric/Grass,0.5 m,5.9 kg,male/female,Sea Otter
#0502,Dewott,Water,Electric/Grass,0.8 m,24.5 kg,male/female,Discipline
#0503,Samurott,Water,Electric/Grass,1.5 m,94.6 kg,male/female,Formidable
#0504,Patrat,Normal,Fighting,0.5 m,11.6 kg,male/female,Scout
#0505,Watchog,Normal,Fighting,1.1 m,27 kg,male/female,Lookout
#0506,Lillipup,Normal,Fighting,0.4 m,4.1 kg,male/female,Puppy
#0507,Herdier,Normal,Fighting,0.9 m,14.7 kg,male/female,Loyal Dog
#0508,Stoutland,Normal,Fighting,1.2 m,61 kg,male/female,Big-Hearted
#0509,Purrloin,Dark,Fighting/Bug/Fairy,0.4 m,10.1 kg,male/female,Devious
#0510,Liepard,Dark,Fighting/Bug/Fairy,1.1 m,37.5 kg,male/female,Cruel
#0511,Pansage,Grass,Fire/Ice/Poison/Flying/Bug,0.6 m,10.5 kg,male/female,Grass Monkey
#0512,Simisage,Grass,Fire/Ice/Poison/Flying/Bug,1.1 m,30.5 kg,male/female,Thorn Monkey
#0513,Pansear,Fire,Water/Ground/Rock,0.6 m,11 kg,male/female,High Temp
#0514,Simisear,Fire,Water/Ground/Rock,1 m,28 kg,male/female,Ember
#0515,Panpour,Water,Electric/Grass,0.6 m,13.5 kg,male/female,Spray
#0516,Simipour,Water,Electric/Grass,1 m,29 kg,male/female,Geyser
#0517,Munna,Psychic,Bug/Ghost/Dark,0.6 m,23.3 kg,male/female,Dream Eater
#0518,Musharna,Psychic,Bug/Ghost/Dark,1.1 m,60.5 kg,male/female,Drowsing
#0519,Pidove,Normal/Flying,Electric/Ice/Rock,0.3 m,2.1 kg,male/female,Tiny Pigeon
#0520,Tranquill,Normal/Flying,Electric/Ice/Rock,0.6 m,15 kg,male/female,Wild Pigeon
#0521,Unfezant,Normal/Flying,Electric/Ice/Rock,1.2 m,29 kg,male/female,Proud
#0522,Blitzle,Electric,Ground,0.8 m,29.8 kg,male/female,Electrified
#0523,Zebstrika,Electric,Ground,1.6 m,79.5 kg,male/female,Thunderbolt
#0524,Roggenrola,Rock,Water/Grass/Fighting/Ground/Steel,0.4 m,18 kg,male/female,Mantle
#0525,Boldore,Rock,Water/Grass/Fighting/Ground/Steel,0.9 m,102 kg,male/female,Ore
#0526,Gigalith,Rock,Water/Grass/Fighting/Ground/Steel,1.7 m,260 kg,male/female,Compressed
#0527,Woobat,Psychic/Flying,Electric/Ice/Rock/Ghost/Dark,0.4 m,2.1 kg,male/female,Bat
#0528,Swoobat,Psychic/Flying,Electric/Ice/Rock/Ghost/Dark,0.9 m,10.5 kg,male/female,Courting
#0529,Drilbur,Ground,Water/Grass/Ice,0.3 m,8.5 kg,male/female,Mole
#0530,Excadrill,Ground/Steel,Fire/Water/Ground,0.7 m,40.4 kg,male/female,Subterrene
#0531,Audino,Normal,Fighting,1.1 m,31 kg,male/female,Hearing
#0532,Timburr,Fighting,Flying/Psychic/Fairy,0.6 m,12.5 kg,male/female,Muscular
#0533,Gurdurr,Fighting,Flying/Psychic/Fairy,1.2 m,40 kg,male/female,Muscular
#0534,Conkeldurr,Fighting,Flying/Psychic/Fairy,1.4 m,87 kg,male/female,Muscular
#0535,Tympole,Water,Electric/Grass,0.5 m,4.5 kg,male/female,Tadpole
#0536,Palpitoad,Water/Ground,Grass,0.8 m,17 kg,male/female,Vibration
#0537,Seismitoad,Water/Ground,Grass,1.5 m,62 kg,male/female,Vibration
#0538,Throh,Fighting,Flying/Psychic/Fairy,1.3 m,55.5 kg,male,Judo
#0539,Sawk,Fighting,Flying/Psychic/Fairy,1.4 m,51 kg,male,Karate
#0540,Sewaddle,Bug/Grass,Fire/Ice/Poison/Flying/Bug/Rock,0.3 m,2.5 kg,male/female,Sewing
#0541,Swadloon,Bug/Grass,Fire/Ice/Poison/Flying/Bug/Rock,0.5 m,7.3 kg,male/female,Leaf-Wrapped
#0542,Leavanny,Bug/Grass,Fire/Ice/Poison/Flying/Bug/Rock,1.2 m,20.5 kg,male/female,Nurturing
#0543,Venipede,Bug/Poison,Fire/Flying/Psychic/Rock,0.4 m,5.3 kg,male/female,Centipede
#0544,Whirlipede,Bug/Poison,Fire/Flying/Psychic/Rock,1.2 m,58.5 kg,male/female,Curlipede
#0545,Scolipede,Bug/Poison,Fire/Flying/Psychic/Rock,2.5 m,200.5 kg,male/female,Megapede
#0546,Cottonee,Grass/Fairy,Fire/Ice/Poison/Flying/Steel,0.3 m,0.6 kg,male/female,Cotton Puff
#0547,Whimsicott,Grass/Fairy,Fire/Ice/Poison/Flying/Steel,0.7 m,6.6 kg,male/female,Windveiled
#0548,Petilil,Grass,Fire/Ice/Poison/Flying/Bug,0.5 m,6.6 kg,female,Bulb
#0549,Lilligant,Grass,Fire/Ice/Poison/Flying/Bug,1.1 m,16.3 kg,female,Flowering
#0550,Basculin-Red-Striped,Water,Electric/Grass,1 m,18 kg,male/female,Hostile
#0551,Sandile,Ground/Dark,Water/Grass/Ice/Fighting/Bug/Fairy,0.7 m,15.2 kg,male/female,Desert Croc
#0552,Krokorok,Ground/Dark,Water/Grass/Ice/Fighting/Bug/Fairy,1 m,33.4 kg,male/female,Desert Croc
#0553,Krookodile,Ground/Dark,Water/Grass/Ice/Fighting/Bug/Fairy,1.5 m,96.3 kg,male/female,Intimidation
#0554,Darumaka,Fire,Water/Ground/Rock,0.6 m,37.5 kg,male/female,Zen Charm
#0555,Darmanitan-Standard,Fire,Water/Ground/Rock,1.3 m,92.9 kg,male/female,Blazing
#0556,Maractus,Grass,Fire/Ice/Poison/Flying/Bug,1 m,28 kg,male/female,Cactus
#0557,Dwebble,Bug/Rock,Water/Rock/Steel,0.3 m,14.5 kg,male/female,Rock Inn
