S.no,Name,Evolves From,Evolves To,Evolution Method
#0704,Goomy,,Sliggoo,Level 40
#0705,Sliggoo,Goomy,Goodra,Level 50 during Rain
#0706,Goodra,Sliggoo,,
#0707,Klefki,,,
#0708,Phantump,,Trevenant,Trade
#0709,Trevenant,Phantump,,
#0710,Pumpkaboo,,Gourgeist,Trade
#0711,Gourgeist,Pumpkaboo,,
#0712,Bergmite,,Avalugg,Level 37
#0713,Avalugg,Bergmite,,
#0714,Noibat,,Noivern,Level 48
#0715,Noivern,Noibat,,
#0716,Xerneas,,,
#0717,Yveltal,,,
#0718,Zygarde,,,
#0719,Diancie,,,
#0720,Hoopa,,,
#0721,Volcanion,,,
#0722,Rowlet,,Dartrix,Level 17
#0723,Dartrix,Rowlet,Decidueye,Level 34
#0724,Decidueye,Dartrix,,
#0725,Litten,,Torracat,Level 17
#0726,Torracat,Litten,Incineroar,Level 34
#0727,Incineroar,Torracat,,
#0728,Popplio,,Brionne,Level 17
#0729,Brionne,Popplio,Primarina,Level 34
#0730,Primarina,Brionne,,
#0731,Pikipek,,Trumbeak,Level 14
#0732,Trumbeak,Pikipek,Toucannon,Level 28
#0733,Toucannon,Trumbeak,,
#0734,Yungoos,,Gumshoos,Level 20 Day
#0735,Gumshoos,Yungoos,,
#0736,Grubbin,,Charjabug,Level 20
#0737,Charjabug,Grubbin,Vikavolt,Special Magnetic Field
#0738,Vikavolt,Charjabug,,
#0739,Crabrawler,,Crabominable,Level up near Ice Stone
#0740,Crabominable,Crabrawler,,
#0741,Oricorio,,,
#0742,Cutiefly,,Ribombee,Level 25
#0743,Ribombee,Cutiefly,,
#0744,Rockruff,,Lycanroc,Level 25
#0745,Lycanroc,Rockruff,,
#0746,Wishiwashi,,,
#0747,Mareanie,,Toxapex,Level 38
#0748,Toxapex,Mareanie,,
#0749,Mudbray,,Mudsdale,Level 30
#0750,Mudsdale,Mudbray,,
#0751,Dewpider,,Araquanid,Level 22
#0752,Araquanid,Dewpider,,
#0753,Fomantis,,Lurantis,Level 34 Day
#0754,Lurantis,Fomantis,,
#0755,Morelull,,Shiinotic,Level 24
#0756,Shiinotic,Morelull,,
#0757,Salandit,,Salazzle,Female Level 33
#0758,Salazzle,Salandit,,
#0759,Stufful,,Bewear,Level 27
#0760,Bewear,Stufful,,
#0761,Bounsweet,,Steenee,Level 18
#0762,Steenee,Bounsweet,Tsareena,Level up while knowing Stomp
#0763,Tsareena,Steenee,,
#0764,Comfey,,,
#0765,Oranguru,,,
#0766,Passimian,,,
#0767,Wimpod,,Golisopod,Level 30
#0768,Golisopod,Wimpod,,
#0769,Sandygast,,Palossand,Level 42
#0770,Palossand,Sandygast,,
#0771,Pyukumuku,,,
#0772,Type: Null,,Silvally,High Friendship
#0773,Silvally,Type: Null,,
#0774,Minior,,,
#0775,Komala,,,
#0776,Turtonator,,,
#0777,Togedemaru,,,
#0778,Mimikyu,,,
#0779,Bruxish,,,
#0780,Drampa,,,
#0781,Dhelmise,,,
#0782,Jangmo-o,,Hakamo-o,Level 35
#0783,Hakamo-o,Jangmo-o,Kommo-o,Level 45
#0784,Kommo-o,Hakamo-o,,
#0785,Tapu Koko,,,
#0786,Tapu Lele,,,
#0787,Tapu Bulu,,,
#0788,Tapu Fini,,,
#0789,Cosmog,,Cosmoem,Level 43
#0790,Cosmoem,Cosmog,Lunala,Level 53
#0791,Lunala,Cosmoem,,
#0792,Solgaleo,Cosmoem,,
#0793,Nihilego,,,
#0794,Buzzwole,,,
#0795,Pheromosa,,,
#0796,Xurkitree,,,
#0797,Celesteela,,,
#0798,Kartana,,,
#0799,Guzzlord,,,
#0800,Necrozma,,,
#0801,Magearna,,,
#0802,Marshadow,,,
#0803,Poipole,,Naganadel,Level up knowing Dragon Pulse
#0804,Naganadel,Poipole,,
#0805,Stakataka,,,
#0806,Blacephalon,,,
#0807,Zeraora,,,
#0808,Meltan,,Melmetal,400 Meltan Candy
#0809,Melmetal,Meltan,,
#0810,Grookey,,Thwackey,Level 16
#0811,Thwackey,Grookey,Rillaboom,Level 35
#0812,Rillaboom,Thwackey,,
#0813,Scorbunny,,Raboot,Level 16
#0814,Raboot,Scorbunny,Cinderace,Level 35
#0815,Cinderace,Raboot,,
#0816,Sobble,,Drizzile,Level 16
#0817,Drizzile,Sobble,Inteleon,Level 35
#0818,Inteleon,Drizzile,,
#0819,Skwovet,,Greedent,Level 24
#0820,Greedent,Skwovet,,
#0821,Rookidee,,Corvisquire,Level 18
#0822,Corvisquire,Rookidee,Corviknight,Level 38
#0823,Corviknight,Corvisquire,,
#0824,Blipbug,,Dottler,Level 10
#0825,Dottler,Blipbug,Orbeetle,Level 30
#0826,Orbeetle,Dottler,,
#0827,Nickit,,Thievul,Level 18
#0828,Thievul,Nickit,,
#0829,Gossifleur,,Eldegoss,Level 20
#0830,Eldegoss,Gossifleur,,
#0831,Wooloo,,Dubwool,Level 24
#0832,Dubwool,Wooloo,,
#0833,Chewtle,,Drednaw,Level 22
#0834,Drednaw,Chewtle,,
#0835,Yamper,,Boltund,Level 25
#0836,Boltund,Yamper,,
#0837,Rolycoly,,Carkol,Level 18
#0838,Carkol,Rolycoly,Coalossal,Level 34
#0839,Coalossal,Carkol,,
#0840,Applin,,Flapple, Tart Apple
#0841,Flapple,Applin,,
#0842,Appletun,Applin,,
#0843,Silicobra,,Sandaconda,Level 36
#0844,Sandaconda,Silicobra,,
#0845,Cramorant,,,
#0846,Arrokuda,,Barraskewda,Level 26
#0847,Barraskewda,Arrokuda,,
#0848,Toxel,,Toxtricity,Level 30
#0849,Toxtricity,Toxel,,
#0850,Sizzlipede,,Centiskorch,Level 28
#0851,Centiskorch,Sizzlipede,,
#0852,Clobbopus,,Grapploct,Level up while knowing Taunt
#0853,Grapploct,Clobbopus,,
#0854,Sinistea,,Polteageist,Cracked Pot/Chipped Pot
#0855,Polteageist,Sinistea,,
#0856,Hatenna,,Hattrem,Level 32
#0857,Hattrem,Hatenna,Hatterene,Level 42
#0858,Hatterene,Hattrem,,
#0859,Impidimp,,Morgrem,Level 32
#0860,Morgrem,Impidimp,Grimmsnarl,Level 42
#0861,Grimmsnarl,Morgrem,,
#0862,Obstagoon,Galarian Linoone,,
#0863, Perrserker,Galarian Meowth,,
#0864,Cursola,Galarian Corsola,,
#0865, Sirfetch'd,Galarian Farfetch'd,,
#0866,Mr. Rime,Galarian Mr. Mime,,
#0867,Runerigus,Galarian Yamask,,
#0868,Milcery,,Alcremie,Sweet
#0869,Alcremie,Milcery,,
#0870,Falinks,,,
#0871,Pincurchin,,,
#0872,Snom,,Frosmoth,High Friendship at Night
#0873,Frosmoth,Snom,,
#0874,Stonjourner,,,
#0875,Eiscue,,,
#0876,Indeedee,,,
#0877,Morpeko,,,
#0878,Cufant,,Copperajah,Level 34
#0879,Copperajah,Cufant,,
#0880,Dracozolt,,,
#0881,Arctozolt,,,
#0882,Dracovish,,,
#0883,Arctovish,,,
#0884,Duraludon,,Archaludon,Use Metal Alloy
#0885,Dreepy,,Drakloak,Level 50
#0886,Drakloak,Dreepy,Dragapult,Level 60
#0887,Dragapult,Drakloak,,
#0888,Zacian,,,
#0889,Zamazenta,,,
#0890,Eternatus,,,
#0891,Kubfu,,Urshifu,Scroll of Darkness/Scroll of Waters
#0892,Urshifu,Kubfu,,
#0893,Zarude,,,
#0894,Regieleki,,,
#0895,Regidrago,,,
#0896,Glastrier,,,
#0897,Spectrier,,,
#0898,Calyrex,,,
#0899,Wyrdeer,Stantler,,
#0900,Kleavor,Scyther,,
#0901,Ursaluna,Ursaring,,
#0902,Basculegion,Basculin,,
#0903,Sneasler,Sneasel,,
#0904,Overqwil,Qwilfish,,
#0905,Enamorus,,,
#0906,Sprigatito,,Floragato,Level 16
#0907,Floragato,Sprigatito,Meowscarada,Level 36
#0908,Meowscarada,Floragato,,
#0909,Fuecoco,,Crocalor,Level 16
#0910,Crocalor,Fuecoco,Skeledirge,Level 36
#0911,Skeledirge,Crocalor,,
#0912,Quaxly,,Quaxwell,Level 16
#0913,Quaxwell,Quaxly,Quaquaval,Level 36
#0914,Quaquaval,Quaxwell,,
#0915,Lechonk,,Oinkologne,Level 18
#0916,Oinkologne,Lechonk,,
#0917,Tarountula,,Spidops,Level 15
#0918,Spidops,Tarountula,,
#0919,Nymble,,Lokix,Level 24
#0920,Lokix,Nymble,,
#0921,Pawmi,,Pawmo,Level 18
#0922,Pawmo,Pawmi,Pawmot,Walk 1000 steps
#0923,Pawmot,Pawmo,,
#0924,Tandemaus,,Maushold,Level 25
#0925,Maushold,Tandemaus,,
#0926,Fidough,,Dachsbun,Level 26
#0927,Dachsbun,Fidough,,
#0928,Smoliv,,Dolliv,Level 25
#0929,Dolliv,Smoliv,Arboliva,Level 35
#0930,Arboliva,Dolliv,,
#0931,Squawkabilly,,,
#0932,Nacli,,Naclstack,Level 24
#0933,Naclstack,Nacli,Garganacl,Level 38
#0934,Garganacl,Naclstack,,
#0935,Charcadet,,Armarouge,Auspect of Armor
#0936,Armarouge,Charcadet,,
#0937,Ceruledge,Charcadet,,
#0938,Tadbulb,,Bellibolt,Thunder Stone
#0939,Bellibolt,Tadbulb,,
#0940,Wattrel,,Kilowattrel,Level 25
#0941,Kilowattrel,Wattrel,,
#0942,Maschiff,,Mabosstiff,Level 30
#0943,Mabosstiff,Maschiff,,
#0944,Shroodle,,Grafaiai,Level 28
#0945,Grafaiai,Shroodle,,
#0946,Brute Bonnet,,,
#0947,Toedscool,,Toedscruel,Level 30
#0948,Toedscruel,Toedscool,,
#0949,Flamigo,,,
#0950,Cetoddle,,Cetitan,Ice Stone
#0951,Cetitan,Cetoddle,,
#0952,Veluza,,,
#0953,Finizen,,Palafin,Level 38 in Union Circle
#0954,Palafin,Finizen,,
#0955,Varoom,,Revavroom,Level 40
#0956,Revavroom,Varoom,,
#0957,Cyclizar,,,
#0958,Orthworm,,,
#0959,Glimmet,,Glimmora,Level 35
#0960,Glimmora,Glimmet,,
#0961,Greavard,,Houndstone,Level 30 Night
#0962,Houndstone,Greavard,,
#0963,Flamigo,,,
#0964,Finizen,,Palafin,Level 38 in Union Circle
#0965,Varoom,,Revavroom,Level 40
#0966,Revavroom,Varoom,,
#0967,Cyclizar,,,
#0968,Orthworm,,,
#0969,Glimmet,,Glimmora,Level 35
#0970,Glimmora,Glimmet,,
#0971,Greavard,,Houndstone,Level 30 Night
#0972,Houndstone,Greavard,,
#0973,Flamigo,,,
#0974,Cetoddle,,Cetitan,Ice Stone
#0975,Cetitan,Cetoddle,,
#0976,Veluza,,,
#0977,Dondozo,,,
#0978,Tatsugiri,,,
#0979,Annihilape,Primeape,,
#0980,Clodsire,Paldean Wooper,,
#0981,Farigiraf,Girafarig,,
#0982,Dudunsparce,Dunsparce,,
#0983,Kingambit,Bisharp,,
#0984,Great Tusk,,,
#0985,Scream Tail,,,
#0986,Brute Bonnet,,,
#0987,Flutter Mane,,,
#0988,Slither Wing,,,
#0989,Sandy Shocks,,,
#0990,Iron Treads,,,
#0991,Iron Bundle,,,
#0992,Iron Hands,,,
#0993,Iron Jugulis,,,
#0994,Iron Moth,,,
#0995,Iron Thorns,,,
#0996,Frigibax,,Arctibax,Level 35
#0997,Arctibax,Frigibax,Baxcalibur,Level 54
#0998,Baxcalibur,Arctibax,,
#0999,Gimmighoul,,Gholdengo,Collect 999 Gimmighoul Coins
#1000,Gholdengo,Gimmighoul,,
#1001,Wo-Chien,,,
#1002,Chien-Pao,,,
#1003,Ting-Lu,,,
#1004,Chi-Yu,,,
#1005,Raging Bolt,,,
#1006,Iron Boulder,,,
#1007,Koraidon,,,
#1008,Miraidon,,,
#1009,Walking Wake,,,
#1010,Iron Leaves,,,
#1011,Poltchageist,,Sinistcha,Use Unremarkable Teacup/Masterpiece Teacup
#1012,Sinistcha,Poltchageist,,
#1013,Okidogi,,,
#1014,Munkidori,,,
#1015,Fezandipiti,,,
#1016,Pecharunt,,,
#1017,Ogerpon,,,
#1018,Archaludon,Duraludon,,
#1019,Hydrapple,Applin,,
#1020,Gouging Fire,,,
#1021,Raging Bolt,,,
#1022,Iron Boulder,,,
#1023,Iron Crown,,,
#1024,Terapagos,,,
#1025,Pecharunt,,,
